date,min,max,mean,stDev
2020-02-01,1.969518962141592e-05,5.892182525712997e-05,3.786076300946369e-05,1.2217946235194733e-05
2020-02-02,1.2963011613464914e-05,3.517211735015735e-05,2.4710337678281176e-05,7.552903539966107e-06
2020-02-03,NaN,NaN,NaN,NaN
2020-02-04,1.351293485640781e-05,5.6977951317094266e-05,3.188201653689868e-05,8.736396556330319e-06
2020-02-05,1.940951551659964e-05,4.123349572182633e-05,2.7084093300903218e-05,7.069071440280777e-06
2020-02-06,NaN,NaN,NaN,NaN
2020-02-07,NaN,NaN,NaN,NaN
2020-02-08,1.7676595234661363e-05,4.24785066570621e-05,3.882348813165566e-05,8.791603112817356e-06
2020-02-09,NaN,NaN,NaN,NaN
2020-02-10,NaN,NaN,NaN,NaN
2020-02-11,2.6352311124355765e-06,7.014528819127008e-05,4.107734536493062e-05,1.8033317844621887e-05
2020-02-12,1.4502856174658518e-05,9.26172433537431e-05,4.850804859143563e-05,2.2680686640076028e-05
2020-02-13,NaN,NaN,NaN,NaN
2020-02-14,1.0650920557964128e-05,8.892915502656251e-05,3.828123731359101e-05,1.979507796226964e-05
2020-02-15,1.217286626342684e-05,7.471763092326e-05,3.908147496518708e-05,1.9209511345150757e-05
2020-02-16,2.004732596105896e-05,6.98058502166532e-05,4.153611409233942e-05,1.6812999342481662e-05
2020-02-17,NaN,NaN,NaN,NaN
2020-02-18,8.058967978286091e-06,8.881513349479064e-05,3.4198741529276296e-05,1.5367748888049078e-05
2020-02-19,6.023357855156064e-06,8.416752825723961e-05,3.846557529347998e-05,1.8798153680814726e-05
2020-02-20,9.369449799123686e-06,9.130063699558377e-05,4.086210442866068e-05,2.4852381800684677e-05
2020-02-21,5.169939868210349e-06,7.274212111951783e-05,2.566926873011219e-05,1.1674795290216447e-05
2020-02-22,1.374170824419707e-05,0.00012204693484818563,5.670673325525528e-05,3.352822853536049e-05
2020-02-23,3.905478024535114e-06,3.549022221704945e-05,2.3025959914573458e-05,8.663984733094461e-06
2020-02-24,1.0946683687507175e-05,2.117993608408142e-05,1.502479412162821e-05,4.8719364799117825e-06
2020-02-25,5.7097189198884735e-08,4.3505187932169065e-05,2.9968229742769e-05,1.1019645140293727e-05
2020-02-26,1.1581252692849375e-05,2.473177300998941e-05,1.5983333646468285e-05,6.205750421669105e-06
2020-02-27,9.927138307830319e-06,3.4219076042063534e-05,2.361487486024034e-05,7.639806481692882e-06
2020-02-28,-2.761739779089112e-06,5.893944762647152e-05,3.655141807792427e-05,1.643290927079574e-05
2020-02-29,3.880477379425429e-06,0.00016662008420098573,4.803897762474788e-05,4.038345020196014e-05
2020-03-01,3.1027486784296343e-06,6.385616870829836e-05,2.0518641142212694e-05,1.92345915620834e-05
2020-03-02,2.0887977370875888e-05,0.00014846281555946916,6.414414861991047e-05,2.9553121562321e-05
2020-03-03,1.2621402674994897e-05,3.4426600905135274e-05,2.1675275828807472e-05,6.993020519579394e-06
2020-03-04,NaN,NaN,NaN,NaN
2020-03-05,2.634259726619348e-05,0.0005960292764939368,0.0001993223816248997,0.00014417972283427147
2020-03-06,4.229129899613326e-06,0.00022567309497389942,4.2326863719341634e-05,3.3730930788743936e-05
2020-03-07,3.655851833173074e-05,0.00015240641369018704,0.00010134196759926315,5.092243474040915e-05
2020-03-08,3.982235648436472e-05,0.00010873597057070583,7.592050639886738e-05,1.919061285713615e-05
2020-03-09,1.7755433873389848e-05,9.449219214729965e-05,6.144135297741447e-05,1.9003398771539197e-05
2020-03-10,5.297202369547449e-05,0.00022031004482414573,0.0001184723113282692,4.3237414043779954e-05
2020-03-11,1.2788783351425081e-05,3.170065247104503e-05,2.247010967668971e-05,5.210513781694522e-06
2020-03-12,1.2233048437337857e-05,5.356584006221965e-05,3.054841691596256e-05,1.2316146872839291e-05
2020-03-13,1.4289763385022525e-05,6.08132868364919e-05,3.7535270282395734e-05,1.6045523271489916e-05
2020-03-14,2.7427784516476095e-05,0.00011025111598428339,6.854532108468433e-05,2.232250506652791e-05
2020-03-15,2.65033795585623e-05,6.358934479067102e-05,4.232749377649814e-05,8.017625537743699e-06
2020-03-16,NaN,NaN,NaN,NaN
2020-03-17,2.1396012016339228e-05,2.1396012016339228e-05,2.1396012016339228e-05,0.0
2020-03-18,1.294017147301929e-05,3.659604044514708e-05,2.452012947026815e-05,8.944014924509432e-06
2020-03-19,8.472106856061146e-06,4.010633347206749e-05,2.3068203191291937e-05,9.874645238198733e-06
2020-03-20,-7.985293450474273e-06,5.074902219348587e-05,2.15499048024955e-05,1.34732820435959e-05
2020-03-21,6.809490969317267e-06,5.2085368224652484e-05,2.9007726247362983e-05,1.0932264680174989e-05
2020-03-22,-6.255289918044582e-06,4.51701162091922e-05,1.5783130270611286e-05,1.3028256688221085e-05
2020-03-23,-8.203562060771219e-07,9.332601621281356e-05,3.965070653323608e-05,2.3320142051929552e-05
2020-03-24,2.631981487866142e-06,3.795395605266094e-05,1.7233940091753923e-05,1.143010089822812e-05
2020-03-25,5.880722255824367e-06,3.862535595544614e-05,2.0002493837622263e-05,8.134256329391803e-06
2020-03-26,8.282163435069378e-06,4.876984530710615e-05,2.9248274783322217e-05,9.725589028391298e-06
2020-03-27,3.2223863399849506e-06,4.203634671284817e-05,2.30638504102817e-05,9.291362707228297e-06
2020-03-28,3.887903403665405e-06,5.8959743910236284e-05,2.79790826300224e-05,1.661870966533007e-05
2020-03-29,7.294411261682399e-06,2.8190130251459777e-05,1.1331160813075704e-05,3.984366750172955e-06
2020-03-30,NaN,NaN,NaN,NaN
2020-03-31,1.0195175264016143e-06,6.389981717802584e-05,3.115251697400195e-05,1.4266432619106515e-05
2020-04-01,1.040677943819901e-05,6.571735866600648e-05,2.8133416085690377e-05,1.2049693289589946e-05
2020-04-02,2.9808745694026584e-06,2.5725454179337248e-05,1.2317345704772601e-05,3.7246973458050774e-06
2020-04-03,1.0221512638963759e-05,4.7264493332477286e-05,3.1981442052756166e-05,8.527741639138338e-06
2020-04-05,9.012746886583045e-06,5.167418566998094e-05,2.828360931980436e-05,1.1123064923663174e-05
2020-04-06,7.472606739611365e-06,4.5875371142756194e-05,2.2889696327409918e-05,1.0892871266093402e-05
2020-04-07,1.7702979675959796e-05,9.05539927771315e-05,4.75028218159814e-05,2.1018553334101775e-05
2020-04-08,1.6080652130767703e-05,3.367157114553265e-05,2.010705094022936e-05,3.86337383959193e-06
2020-04-09,8.314402293763123e-06,3.079012458329089e-05,1.6878105052275964e-05,5.7204494907986446e-06
2020-04-10,5.735987997468328e-06,1.1307109161862172e-05,8.774781359864969e-06,2.7740261203026863e-06
2020-04-11,5.780091669294052e-06,7.935374742373824e-05,2.888484965219209e-05,1.0522624168247071e-05
2020-04-12,NaN,NaN,NaN,NaN
2020-04-13,1.860850170487538e-05,3.140439002891071e-05,2.363451048520617e-05,4.10893463051459e-06
2020-04-14,NaN,NaN,NaN,NaN
2020-04-15,2.2345760953612626e-05,6.060698797227815e-05,4.4622116819470215e-05,9.513891680882084e-06
2020-04-16,1.1722971066774335e-05,5.593124296865426e-05,3.48379314203782e-05,9.319018015316705e-06
2020-04-17,2.227257573395036e-05,2.227257573395036e-05,2.227257573395036e-05,0.0
2020-04-18,1.111968686018372e-05,4.1661223804112524e-05,2.857405836202173e-05,1.0474134800981375e-05
2020-04-19,6.449376087402925e-06,6.449376087402925e-06,6.449376087402925e-06,0.0
2020-04-20,1.1798636478488334e-05,4.9818972911452875e-05,3.4830317873851715e-05,1.3649412022867795e-05
2020-04-21,-2.1111993646627525e-06,6.298648077063262e-05,2.612263227180345e-05,1.596116707421613e-05
2020-04-22,-5.011561370338313e-07,4.565368726616725e-05,2.1228738730494986e-05,1.1960459885876357e-05
2020-04-23,1.0942648259515408e-05,4.567719224723987e-05,2.899808000448429e-05,8.892123516097504e-06
2020-04-24,7.78921639721375e-06,6.789066537749022e-05,1.987972654355876e-05,9.774500364630578e-06
2020-04-25,1.1267568879702594e-05,3.0842282285448164e-05,2.0127531996153208e-05,6.288879725795974e-06
2020-04-26,5.2092950681981165e-06,2.3117732780519873e-05,1.4132522702661464e-05,4.713930150233507e-06
2020-04-27,NaN,NaN,NaN,NaN
2020-04-28,-5.199191946303472e-06,9.112160478252918e-05,3.5873422442426126e-05,2.3169705863626204e-05
2020-04-29,2.3908190996735357e-05,2.3908190996735357e-05,2.3908190996735357e-05,0.0
2020-04-30,5.777318165200995e-06,3.163736255373806e-05,1.2495069901605659e-05,6.840778314637727e-06
